=== SCRIPT3+ DIAGNOSTICS zelda_v395 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Trace  | PC     | Crash           | Notes
----------------------------------------------------------------------------------------------------------------------------------
  300 |   0 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0403 | 0012C4 | 0000/0000/00000000 | heartbeat
  490 |   0 |   1 |     1 | 0x12   |    0 |    0 |     0 |     0 | 0x0203 | 000916 | 0000/0000/00000000 | SUB 0->1
  501 |   0 |   2 |     1 | 0x00   |    0 |    0 |     0 |     0 | 0x0318 | 00A128 | 0000/0000/00000000 | SUB 1->2
  505 |   1 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0318 | 00A140 | 0000/0000/00000000 | SCRIPT 0->1; SUB 2->0
  508 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | 0x0403 | 000904 | 0000/0000/00000000 | SUB 0->2
  600 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | 0x0403 | 0008F6 | 0000/0000/00000000 | heartbeat
  876 |   1 |   3 |     0 | 0x14   |    0 |    0 |     0 |     0 | 0x0203 | 00090A | 0000/0000/00000000 | SUB 2->3
  878 |   1 |   5 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0203 | 000C9E | 0000/0000/00000000 | SUB 3->5
  879 |   1 |   6 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0203 | 000B94 | 0000/0000/00000000 | SUB 5->6
  880 |   1 |   0 |     1 | 0x00   |    0 |    0 |     0 |     0 | 0x0203 | 00090E | 0000/0000/00000000 | SUB 6->0
  881 |   1 |   1 |     1 | 0x00   |    0 |    0 |     0 |     0 | 0x0318 | 000EBC | 0000/0000/00000000 | SUB 0->1
  886 |   2 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0203 | 000C9E | 0000/0000/00000000 | SCRIPT 1->2; SUB 1->0
  887 |   2 |   1 |     0 | 0x00   |    0 |    0 |     0 |     0 | 0x0203 | 0008E2 | 0000/0000/00000000 | SUB 0->1
