=== BOOT DIAG zelda_v389 ===
Frame | Script | Sub | Ready | PpuIdx | 00F4 | Notes
------------------------------------------------------------------------
    1 |      0 |   0 |     0 | 0x00   |    0 | SCRIPT -1->0; SUB -1->0; READY -1->0; PPU 0xFF->0x00; 00F4 -1->0
   13 |      0 |   0 |     0 | 0x00   |    1 | 00F4 0->1
  120 |      0 |   0 |     0 | 0x00   |    1 | heartbeat
  240 |      0 |   0 |     0 | 0x00   |    1 | heartbeat
  360 |      0 |   0 |     0 | 0x00   |    1 | heartbeat
  412 |      0 |   0 |     0 | 0x00   |    0 | 00F4 1->0
  413 |      0 |   0 |     0 | 0x00   |    1 | 00F4 0->1
  453 |      0 |   0 |     1 | 0x10   |    1 | READY 0->1; PPU 0x00->0x10
  459 |      0 |   0 |     1 | 0x00   |    1 | PPU 0x10->0x00
  480 |      0 |   0 |     1 | 0x00   |    1 | heartbeat
  490 |      0 |   1 |     1 | 0x12   |    1 | SUB 0->1; PPU 0x00->0x12
  491 |      0 |   1 |     1 | 0x00   |    1 | PPU 0x12->0x00
  501 |      0 |   2 |     1 | 0x00   |    1 | SUB 1->2
  505 |      1 |   0 |     0 | 0x00   |    1 | SCRIPT 0->1; SUB 2->0; READY 1->0
  508 |      1 |   2 |     0 | 0x12   |    1 | SUB 0->2; PPU 0x00->0x12
  600 |      1 |   2 |     0 | 0x12   |    1 | heartbeat
  720 |      1 |   2 |     0 | 0x12   |    1 | heartbeat
  840 |      1 |   2 |     0 | 0x12   |    1 | heartbeat
  876 |      1 |   3 |     0 | 0x14   |    1 | SUB 2->3; PPU 0x12->0x14
  878 |      1 |   5 |     0 | 0x00   |    1 | SUB 3->5; PPU 0x14->0x00
  879 |      1 |   6 |     0 | 0x00   |    1 | SUB 5->6
  880 |      1 |   0 |     1 | 0x00   |    1 | SUB 6->0; READY 0->1
  881 |      1 |   1 |     1 | 0x00   |    1 | SUB 0->1
  886 |      2 |   0 |     0 | 0x00   |    1 | SCRIPT 1->2; SUB 1->0; READY 1->0
  888 |      2 |   1 |     0 | 0x00   |    1 | SUB 0->1
  889 |      3 |   0 |     0 | 0x00   |    1 | SCRIPT 2->3; SUB 1->0
  890 |      3 |   1 |     0 | 0x00   |    1 | SUB 0->1
  960 |      3 |   1 |     0 | 0x00   |    1 | heartbeat
 1080 |      3 |   1 |     0 | 0x00   |    1 | heartbeat
 1200 |      3 |   1 |     0 | 0x00   |    1 | heartbeat

=== SUMMARY ===
Final: script=3 sub=1 ready=0 ppu_idx=0x00 00F4=1
