=== BOOT DIAG zelda_v392 ===
Frame | Script | Sub | Ready | PpuIdx | 00F4 | Trace  | PC     | Crash           | Notes
------------------------------------------------------------------------------------------------------------------------------
    1 |      0 |   0 |     0 | 0x00   |    0 | 0x0000 | 0003CC | 0000/0000/00000000 | SCRIPT -1->0; SUB -1->0; READY -1->0; PPU 0xFF->0x00; 00F4 -1->0; TRACE 0xFFFF->0x0000; CRASH FFFF/FFFF/FFFFFFFF->0000/0000/00000000
   12 |      0 |   0 |     0 | 0x00   |    0 | 0x048B | 004A54 | 0000/0000/00000000 | TRACE 0x0000->0x048B
   13 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 00090E | 0000/0000/00000000 | 00F4 0->1; TRACE 0x048B->0x0403
   43 |      0 |   0 |     0 | 0x00   |    1 | 0x0203 | 0007EA | 0000/0000/00000000 | TRACE 0x0403->0x0203
   44 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 000B76 | 0000/0000/00000000 | TRACE 0x0203->0x0403
  120 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 000B94 | 0000/0000/00000000 | heartbeat
  240 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 000B94 | 0000/0000/00000000 | heartbeat
  360 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 000B94 | 0000/0000/00000000 | heartbeat
  412 |      0 |   0 |     0 | 0x00   |    0 | 0x0403 | 000C0E | 0000/0000/00000000 | 00F4 1->0
  413 |      0 |   0 |     0 | 0x00   |    1 | 0x0313 | 000ECA | 0000/0000/00000000 | 00F4 0->1; TRACE 0x0403->0x0313
  418 |      0 |   0 |     0 | 0x00   |    1 | 0x0403 | 0074D6 | 0000/0000/00000000 | TRACE 0x0313->0x0403
  448 |      0 |   0 |     0 | 0x00   |    1 | 0x0421 | 000E56 | 0000/0000/00000000 | TRACE 0x0403->0x0421
  453 |      0 |   0 |     1 | 0x10   |    1 | 0x0203 | 000916 | 0000/0000/00000000 | READY 0->1; PPU 0x00->0x10; TRACE 0x0421->0x0203
