frame,pc,trace_last,trace_seq,addr,tile,byte_in_tile,value,vram_addr,ppu_index,ppu_ptr_raw,ppu_ptr_res,d0,d1,d2,d3,d4,a0,a1
3,0003D4,0000,0000,FFC080,008,0,00,0000,0000,0000,00000000,00000FDF,00000000,00000000,00000000,00000000,00FFC084,00000000
3,0003D4,0000,0000,FFC084,008,4,00,0000,0000,0000,00000000,00000FDE,00000000,00000000,00000000,00000000,00FFC088,00000000
3,0003D4,0000,0000,FFC088,008,8,00,0000,0000,0000,00000000,00000FDD,00000000,00000000,00000000,00000000,00FFC08C,00000000
3,0003D4,0000,0000,FFC08C,008,12,00,0000,0000,0000,00000000,00000FDC,00000000,00000000,00000000,00000000,00FFC090,00000000
3,0003D4,0000,0000,FFC0A0,00A,0,00,0000,0000,0000,00000000,00000FD7,00000000,00000000,00000000,00000000,00FFC0A4,00000000
3,0003D4,0000,0000,FFC0A4,00A,4,00,0000,0000,0000,00000000,00000FD6,00000000,00000000,00000000,00000000,00FFC0A8,00000000
3,0003D4,0000,0000,FFC0A8,00A,8,00,0000,0000,0000,00000000,00000FD5,00000000,00000000,00000000,00000000,00FFC0AC,00000000
3,0003D4,0000,0000,FFC0AC,00A,12,00,0000,0000,0000,00000000,00000FD4,00000000,00000000,00000000,00000000,00FFC0B0,00000000
3,0003D4,0000,0000,FFC250,025,0,00,0000,0000,0000,00000000,00000F6B,00000000,00000000,00000000,00000000,00FFC254,00000000
3,0003D4,0000,0000,FFC254,025,4,00,0000,0000,0000,00000000,00000F6A,00000000,00000000,00000000,00000000,00FFC258,00000000
3,0003D4,0000,0000,FFC258,025,8,00,0000,0000,0000,00000000,00000F69,00000000,00000000,00000000,00000000,00FFC25C,00000000
3,0003D4,0000,0000,FFC25C,025,12,00,0000,0000,0000,00000000,00000F68,00000000,00000000,00000000,00000000,00FFC260,00000000
4,0003D4,0000,0000,FFD250,125,0,00,0000,0000,0000,00000000,00000B6B,00000000,00000000,00000000,00000000,00FFD254,00000000
4,0003D4,0000,0000,FFD254,125,4,00,0000,0000,0000,00000000,00000B6A,00000000,00000000,00000000,00000000,00FFD258,00000000
4,0003D4,0000,0000,FFD258,125,8,00,0000,0000,0000,00000000,00000B69,00000000,00000000,00000000,00000000,00FFD25C,00000000
4,0003D4,0000,0000,FFD25C,125,12,00,0000,0000,0000,00000000,00000B68,00000000,00000000,00000000,00000000,00FFD260,00000000
14,001046,0000,0000,FFC080,008,0,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC084,00FF8000
14,001046,0000,0000,FFC084,008,4,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC088,00FF8000
14,001046,0000,0000,FFC088,008,8,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC08C,00FF8000
14,001046,0000,0000,FFC08C,008,12,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC090,00FF8000
14,001046,0000,0000,FFC0A0,00A,0,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC0A4,00FF8000
14,001046,0000,0000,FFC0A4,00A,4,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC0A8,00FF8000
14,001046,0000,0000,FFC0A8,00A,8,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC0AC,00FF8000
14,001046,0000,0000,FFC0AC,00A,12,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC0B0,00FF8000
14,001046,0000,0000,FFC250,025,0,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC254,00FF8000
14,001046,0000,0000,FFC254,025,4,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC258,00FF8000
14,001046,0000,0000,FFC258,025,8,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC25C,00FF8000
14,001046,0000,0000,FFC25C,025,12,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC260,00FF8000
15,001046,0000,0000,FFD250,125,0,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFD254,00FF8000
15,001046,0000,0000,FFD254,125,4,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFD258,00FF8000
15,001046,0000,0000,FFD258,125,8,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFD25C,00FF8000
15,001046,0000,0000,FFD25C,125,12,00,0000,0000,0000,00000000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFD260,00FF8000
16,0006F4,0000,0000,FFC080,008,0,70F0F0F,0000,0000,0000,00000000,000007DF,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8A8,00FFC084
16,0006F4,0000,0000,FFC084,008,4,A0A2039,0000,0000,0000,00000000,000007DE,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8AC,00FFC088
16,0006F4,0000,0000,FFC088,008,8,272F,0000,0000,0000,00000000,000007DD,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8B0,00FFC08C
16,0006F4,0000,0000,FFC08C,008,12,3D3F3F37,0000,0000,0000,00000000,000007DC,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8B4,00FFC090
16,0006F4,0000,0000,FFC0A0,00A,0,E0F0F0F0,0000,0000,0000,00000000,000007D7,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8C8,00FFC0A4
16,0006F4,0000,0000,FFC0A4,00A,4,5050049C,0000,0000,0000,00000000,000007D6,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8CC,00FFC0A8
16,0006F4,0000,0000,FFC0A8,00A,8,E4F4,0000,0000,0000,00000000,000007D5,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8D0,00FFC0AC
16,0006F4,0000,0000,FFC0AC,00A,12,BCFCFCE4,0000,0000,0000,00000000,000007D4,78000666,00000000,00000000,FFFFFFFFC01E0000,0002E8D4,00FFC0B0
16,0006F4,0000,0000,FFC250,025,0,10101010,0000,0000,0000,00000000,0000076B,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA78,00FFC254
16,0006F4,0000,0000,FFC254,025,4,101010,0000,0000,0000,00000000,0000076A,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA7C,00FFC258
16,0006F4,0000,0000,FFC258,025,8,1C141C1C,0000,0000,0000,00000000,00000769,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA80,00FFC25C
16,0006F4,0000,0000,FFC25C,025,12,81C141C,0000,0000,0000,00000000,00000768,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA84,00FFC260
16,0006F4,0000,0000,FFD250,125,0,FFFFFFFF,0000,0000,0000,00000000,0000036B,78000666,00000000,00000000,FFFFFFFFC01E0000,0002FA78,00FFD254
16,0006F4,0000,0000,FFD254,125,4,FFFFFFFF,0000,0000,0000,00000000,0000036A,78000666,00000000,00000000,FFFFFFFFC01E0000,0002FA7C,00FFD258
16,0006F4,0000,0000,FFD258,125,8,00,0000,0000,0000,00000000,00000369,78000666,00000000,00000000,FFFFFFFFC01E0000,0002FA80,00FFD25C
16,0006F4,0000,0000,FFD25C,125,12,00,0000,0000,0000,00000000,00000368,78000666,00000000,00000000,FFFFFFFFC01E0000,0002FA84,00FFD260
39,001304,0403,006B,FFC080,008,0,00,0080,0010,A869,000257C8,00000400,00000001,00000000,00000080,FFFFFFFFC0000080,00FFC000,00025C29
39,001304,0403,006B,FFC081,008,1,00,0081,0010,A869,000257C8,00000400,00000001,00000000,00000081,FFFFFFFFC0000081,00FFC000,00025C29
39,001304,0403,006B,FFC082,008,2,00,0082,0010,A869,000257C8,00000400,00000001,00000000,00000082,FFFFFFFFC0000082,00FFC000,00025C29
39,001304,0403,006B,FFC083,008,3,00,0083,0010,A869,000257C8,00000400,00000001,00000000,00000083,FFFFFFFFC0000083,00FFC000,00025C29
39,001304,0403,006B,FFC084,008,4,00,0084,0010,A869,000257C8,00000400,00000001,00000000,00000084,FFFFFFFFC0000084,00FFC000,00025C29
39,001304,0403,006B,FFC085,008,5,00,0085,0010,A869,000257C8,00000400,00000001,00000000,00000085,FFFFFFFFC0000085,00FFC000,00025C29
39,001304,0403,006B,FFC086,008,6,00,0086,0010,A869,000257C8,00000400,00000001,00000000,00000086,FFFFFFFFC0000086,00FFC000,00025C29
39,001304,0403,006B,FFC087,008,7,00,0087,0010,A869,000257C8,00000400,00000001,00000000,00000087,FFFFFFFFC0000087,00FFC000,00025C29
39,001304,0403,006B,FFC08A,008,10,00,008A,0010,A869,000257C8,00000400,00000001,00000000,0000008A,FFFFFFFFC000008A,00FFC000,00025C29
39,001304,0403,006B,FFC08B,008,11,00,008B,0010,A869,000257C8,00000400,00000001,00000000,0000008B,FFFFFFFFC000008B,00FFC000,00025C29
39,001304,0403,006B,FFC08C,008,12,00,008C,0010,A869,000257C8,00000400,00000001,00000000,0000008C,FFFFFFFFC000008C,00FFC000,00025C29
39,001304,0403,006B,FFC08D,008,13,00,008D,0010,A869,000257C8,00000400,00000001,00000000,0000008D,FFFFFFFFC000008D,00FFC000,00025C29
39,001304,0403,006B,FFC08E,008,14,00,008E,0010,A869,000257C8,00000400,00000001,00000000,0000008E,FFFFFFFFC000008E,00FFC000,00025C29
39,001304,0403,006B,FFC08F,008,15,00,008F,0010,A869,000257C8,00000400,00000001,00000000,0000008F,FFFFFFFFC000008F,00FFC000,00025C29
39,001304,0403,006B,FFC0A0,00A,0,00,00A0,0010,A869,000257C8,00000400,00000001,00000000,000000A0,FFFFFFFFC00000A0,00FFC000,00025C29
39,001304,0403,006B,FFC0A1,00A,1,00,00A1,0010,A869,000257C8,00000400,00000001,00000000,000000A1,FFFFFFFFC00000A1,00FFC000,00025C29
39,001304,0403,006B,FFC0A2,00A,2,00,00A2,0010,A869,000257C8,00000400,00000001,00000000,000000A2,FFFFFFFFC00000A2,00FFC000,00025C29
39,001304,0403,006B,FFC0A3,00A,3,00,00A3,0010,A869,000257C8,00000400,00000001,00000000,000000A3,FFFFFFFFC00000A3,00FFC000,00025C29
39,001304,0403,006B,FFC0A4,00A,4,00,00A4,0010,A869,000257C8,00000400,00000001,00000000,000000A4,FFFFFFFFC00000A4,00FFC000,00025C29
39,001304,0403,006B,FFC0A5,00A,5,00,00A5,0010,A869,000257C8,00000400,00000001,00000000,000000A5,FFFFFFFFC00000A5,00FFC000,00025C29
39,001304,0403,006B,FFC0A6,00A,6,00,00A6,0010,A869,000257C8,00000400,00000001,00000000,000000A6,FFFFFFFFC00000A6,00FFC000,00025C29
39,001304,0403,006B,FFC0A7,00A,7,00,00A7,0010,A869,000257C8,00000400,00000001,00000000,000000A7,FFFFFFFFC00000A7,00FFC000,00025C29
39,001304,0403,006B,FFC0AA,00A,10,00,00AA,0010,A869,000257C8,00000400,00000001,00000000,000000AA,FFFFFFFFC00000AA,00FFC000,00025C29
