frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,d0,d1,d2,d3,d4,a0,a1
4,0003CC,0000,0000,FFCE10,00E1,0,00,0000,00,00,00,00,00,00,00,0000087B,00000000,00000000,00000000,00000000,00FFCE14,00000000
4,0003CC,0000,0000,FFCE14,00E1,4,00,0000,00,00,00,00,00,00,00,0000087A,00000000,00000000,00000000,00000000,00FFCE18,00000000
4,0003CC,0000,0000,FFCE18,00E1,8,00,0000,00,00,00,00,00,00,00,00000879,00000000,00000000,00000000,00000000,00FFCE1C,00000000
4,0003CC,0000,0000,FFCE1C,00E1,12,00,0000,00,00,00,00,00,00,00,00000878,00000000,00000000,00000000,00000000,00FFCE20,00000000
4,0003CC,0000,0000,FFCE20,00E2,0,00,0000,00,00,00,00,00,00,00,00000877,00000000,00000000,00000000,00000000,00FFCE24,00000000
4,0003CC,0000,0000,FFCE24,00E2,4,00,0000,00,00,00,00,00,00,00,00000876,00000000,00000000,00000000,00000000,00FFCE28,00000000
4,0003CC,0000,0000,FFCE28,00E2,8,00,0000,00,00,00,00,00,00,00,00000875,00000000,00000000,00000000,00000000,00FFCE2C,00000000
4,0003CC,0000,0000,FFCE2C,00E2,12,00,0000,00,00,00,00,00,00,00,00000874,00000000,00000000,00000000,00000000,00FFCE30,00000000
4,0003CC,0000,0000,FFCE30,00E3,0,00,0000,00,00,00,00,00,00,00,00000873,00000000,00000000,00000000,00000000,00FFCE34,00000000
4,0003CC,0000,0000,FFCE34,00E3,4,00,0000,00,00,00,00,00,00,00,00000872,00000000,00000000,00000000,00000000,00FFCE38,00000000
4,0003CC,0000,0000,FFCE38,00E3,8,00,0000,00,00,00,00,00,00,00,00000871,00000000,00000000,00000000,00000000,00FFCE3C,00000000
4,0003CC,0000,0000,FFCE3C,00E3,12,00,0000,00,00,00,00,00,00,00,00000870,00000000,00000000,00000000,00000000,00FFCE40,00000000
9,000B58,0000,0000,FFCE10,00E1,0,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE14,00000000
9,000B58,0000,0000,FFCE14,00E1,4,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE18,00000000
9,000B58,0000,0000,FFCE18,00E1,8,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE1C,00000000
9,000B58,0000,0000,FFCE1C,00E1,12,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE20,00000000
9,000B58,0000,0000,FFCE20,00E2,0,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE24,00000000
9,000B58,0000,0000,FFCE24,00E2,4,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE28,00000000
9,000B58,0000,0000,FFCE28,00E2,8,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE2C,00000000
9,000B58,0000,0000,FFCE2C,00E2,12,00,0000,00,00,00,00,00,00,00,00000000,60000000,00000000,00000000,FFFFFFFFC01E0000,00FFCE30,00000000
