frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,trace_ppu_ptr_raw,trace_ppu_ptr_res,trace_ppu_evt_arg0,trace_ppu_evt_arg1,trace_ppu_evt_arg2,trace_ppu_rom_hi,trace_ppu_rom_lo,trace_ppu_rom_ctrl,trace_ppu_rom_data,legacy_ppu_ptr,d0,d1,d2,d3,d4,a0,a1
3,0003D4,0000,0000,FFC250,0025,0,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F6B,00000000,00000000,00000000,00000000,00FFC254,00000000
3,0003D4,0000,0000,FFC254,0025,4,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F6A,00000000,00000000,00000000,00000000,00FFC258,00000000
3,0003D4,0000,0000,FFC258,0025,8,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F69,00000000,00000000,00000000,00000000,00FFC25C,00000000
3,0003D4,0000,0000,FFC25C,0025,12,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F68,00000000,00000000,00000000,00000000,00FFC260,00000000
14,00104A,0000,0000,FFC250,0025,0,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC254,00FF8000
14,00104A,0000,0000,FFC254,0025,4,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC258,00FF8000
14,00104A,0000,0000,FFC258,0025,8,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC25C,00FF8000
14,00104A,0000,0000,FFC25C,0025,12,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC260,00FF8000
16,0006F4,0000,0000,FFC250,0025,0,10101010,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,0000076B,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA7C,00FFC254
16,0006F4,0000,0000,FFC254,0025,4,101010,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,0000076A,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA80,00FFC258
16,0006F4,0000,0000,FFC258,0025,8,1C141C1C,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000769,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA84,00FFC25C
16,0006F4,0000,0000,FFC25C,0025,12,81C141C,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000768,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EA88,00FFC260
42,001308,0403,006B,FFC250,0025,0,24,0250,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82CF,00003624,00000001,00000000,00000250,FFFFFFFFC0000250,00FFC000,00025C2D
42,001308,0403,006B,FFC251,0025,1,24,0251,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D0,00003624,00000001,00000000,00000251,FFFFFFFFC0000251,00FFC000,00025C2D
42,001308,0403,006B,FFC252,0025,2,24,0252,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D1,00003624,00000001,00000000,00000252,FFFFFFFFC0000252,00FFC000,00025C2D
42,001308,0403,006B,FFC253,0025,3,24,0253,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D2,00003624,00000001,00000000,00000253,FFFFFFFFC0000253,00FFC000,00025C2D
42,001308,0403,006B,FFC254,0025,4,24,0254,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D3,00003624,00000001,00000000,00000254,FFFFFFFFC0000254,00FFC000,00025C2D
42,001308,0403,006B,FFC255,0025,5,24,0255,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D4,00003624,00000001,00000000,00000255,FFFFFFFFC0000255,00FFC000,00025C2D
42,001308,0403,006B,FFC256,0025,6,24,0256,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D5,00003624,00000001,00000000,00000256,FFFFFFFFC0000256,00FFC000,00025C2D
42,001308,0403,006B,FFC257,0025,7,24,0257,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D6,00003624,00000001,00000000,00000257,FFFFFFFFC0000257,00FFC000,00025C2D
42,001308,0403,006B,FFC258,0025,8,24,0258,00,FF,00,00,00,00,00,A869,000257CC,0010,A869,0000,23,E0,20,00025C0C,82D7,00003624,00000001,00000000,00000258,FFFFFFFFC0000258,00FFC000,00025C2D
