frame,addr,value,pc,trace_last,trace_seq,ram_music,ram_music_busy,screen_ready,ram_script,ram_subscript,ppu_load_index,se_ptr_lo,se_ptr_hi,d0,d1,d2,d3,a0,a1,a2,a7,sr
12,FF0600,00,004950,048B,000B,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
13,FF0600,00,004950,048B,001D,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
34,FF0600,00,004950,048B,003A,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
35,FF0600,00,004950,048B,004E,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
44,FF0600,00,004950,048B,0068,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
45,FF0600,00,004950,048B,007E,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
50,FF0600,00,004950,048B,0090,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
71,FF0600,00,004950,048B,00AD,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
76,FF0600,00,004950,048B,00C1,00,00,00,00,00,00,00,00,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDB2,2604
76,FF0600,00,0086AC,0470,00CC,00,00,00,00,00,00,00,00,00000480,00000025,00000000,00FF0034,0000868C,00008118,00000000,00FFFDAE,2608
77,FF0609,00,00519A,048B,00DA,80,00,00,00,00,00,00,00,00000480,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFD7A,2608
77,FF0600,80,004950,0406,00E4,80,80,00,00,00,00,0F,8F,00000400,00000491,00000401,00FF0000,000055DA,000056F3,00000000,00FFFD7E,2604
77,FF0600,00,001300,0318,00EE,00,80,00,00,00,00,0F,8F,000000F8,00000440,00000400,00FF0034,00FF0200,00008118,00000000,00FFFD72,2608
86,FF0609,80,00519A,048B,00FE,F8,80,00,00,00,00,0F,8F,000004F8,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFD7A,2608
86,FF0609,F8,0052EE,0406,0108,F8,F8,00,00,00,00,8B,94,00000400,00000491,00000401,00FF0000,000055DA,00005739,00000000,00FFFD7A,2604
86,FF0600,F8,004950,0406,0108,F8,00,00,00,00,00,8B,94,00000400,00000491,00000401,00FF0000,000055DA,00005739,00000000,00FFFD7E,2604
87,FF0600,00,004950,048B,011E,00,00,00,00,00,00,8B,94,00000400,00000025,00000000,00FF0000,00FF0000,00000302,00000000,00FFFDAA,2604
