frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
43,genesis,current_genesis,seq,4,1,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,8F0F,00005487,0000,0481,8F80,,,
43,genesis,current_genesis,seq,4,2,04B3,BANK0_SEQ 9DBE pulse fetch,0016,,,8F0F,00005487,0416,043F,8F80,,,
43,genesis,current_genesis,seq,4,3,04B5,BANK0_SEQ 9E2C control fetch,0035,,,8F0F,00005487,0435,043C,8F80,,,
43,genesis,current_genesis,seq,4,4,04B7,BANK0_SEQ 9EA7 noise fetch,00CE,,,8F0F,00005487,04CE,04FE,8F80,,,
48,genesis,current_genesis,seq,12,5,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
48,genesis,current_genesis,seq,12,6,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
48,genesis,current_genesis,seq,12,7,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
48,genesis,current_genesis,seq,12,8,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
48,genesis,current_genesis,seq,12,9,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
48,genesis,current_genesis,seq,12,10,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
48,genesis,current_genesis,seq,12,11,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
48,genesis,current_genesis,seq,12,12,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
49,genesis,current_genesis,seq,16,13,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
49,genesis,current_genesis,seq,16,14,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
49,genesis,current_genesis,seq,16,15,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
49,genesis,current_genesis,seq,16,16,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
50,genesis,current_genesis,seq,20,17,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
50,genesis,current_genesis,seq,20,18,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
50,genesis,current_genesis,seq,20,19,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
50,genesis,current_genesis,seq,20,20,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
51,genesis,current_genesis,seq,24,21,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
51,genesis,current_genesis,seq,24,22,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
51,genesis,current_genesis,seq,24,23,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
51,genesis,current_genesis,seq,24,24,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
52,genesis,current_genesis,seq,28,25,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
52,genesis,current_genesis,seq,28,26,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
52,genesis,current_genesis,seq,28,27,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
52,genesis,current_genesis,seq,28,28,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
