frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
17,genesis,zelda_v540,ppu,2,1,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
17,genesis,zelda_v540,ppu,2,2,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
18,genesis,zelda_v540,ppu,4,3,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
18,genesis,zelda_v540,ppu,4,4,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
77,genesis,zelda_v540,ppu,6,5,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
77,genesis,zelda_v540,ppu,6,6,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
78,genesis,zelda_v540,ppu,8,7,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
78,genesis,zelda_v540,ppu,8,8,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
88,genesis,zelda_v540,ppu,10,9,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
88,genesis,zelda_v540,ppu,10,10,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
89,genesis,zelda_v540,ppu,13,11,04A9,BANK6_PPU request,0000,0302,003F,,00000000,,,,0000,0302,00000000
89,genesis,zelda_v540,ppu,13,12,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
89,genesis,zelda_v540,ppu,13,13,04A0,BANK6_PPU_LEGACY raw header,3F00,0002,2000,,00000000,,,,0000,0302,00000000
94,genesis,zelda_v540,ppu,18,14,04A1,BANK6_PPU_LEGACY literal decode,3F00,2002,0000,,00000000,,,,0000,0302,00000000
94,genesis,zelda_v540,ppu,18,15,04A3,BANK6_PPU_LEGACY palette fixup,3F00,0000,0000,,00000000,,,,0000,0302,00000000
94,genesis,zelda_v540,ppu,18,16,04A4,BANK6_PPU_LEGACY pointer advance,2200,2500,0300,,00000000,,,,0000,0302,00000000
94,genesis,zelda_v540,ppu,18,17,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
94,genesis,zelda_v540,ppu,18,18,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
116,genesis,zelda_v540,ppu,20,19,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
116,genesis,zelda_v540,ppu,20,20,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
122,genesis,zelda_v540,ppu,22,21,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
122,genesis,zelda_v540,ppu,22,22,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v540,ppu,24,23,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
