frame,system,rom_label,pc,screen_ready,ram_script,ram_subscript,ppu_load_index,cur_save_slot,ram_004D,ram_next_script,ram_041F,ram_0421,ram_0423,ram_0000,ram_0001,ram_0002,ram_0003,ram_0004,ram_0005,spr_index_1,spr_index_2,trace_last,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT,ppu_buf_00,ppu_buf_01,ppu_buf_02,ppu_buf_03,ppu_buf_04,ppu_buf_05,ppu_buf_06,ppu_buf_07,ppu_buf_08,ppu_buf_09,ppu_buf_0A,ppu_buf_0B,ppu_buf_0C,ppu_buf_0D,ppu_buf_0E,ppu_buf_0F,ppu_buf_10,ppu_buf_11,ppu_buf_12,ppu_buf_13,ppu_buf_14,ppu_buf_15,ppu_buf_16,ppu_buf_17,ppu_buf_18,ppu_buf_19,ppu_buf_1A,ppu_buf_1B,ppu_buf_1C,ppu_buf_1D,ppu_buf_1E,ppu_buf_1F,oam_00,oam_01,oam_02,oam_03,oam_04,oam_05,oam_06,oam_07,oam_08,oam_09,oam_0A,oam_0B,oam_0C,oam_0D,oam_0E,oam_0F
0,nes,current_nes,FF66,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,,,,,,,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF
1,nes,current_nes,E5C0,00,00,00,00,00,00,00,00,00,00,20,24,00,00,00,00,00,00,,,,,,,00,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
2,nes,current_nes,E45B,00,00,00,00,00,00,00,00,00,00,28,24,00,00,00,00,00,00,,,,,,,00,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
3,nes,current_nes,8D2C,00,00,00,00,00,00,00,00,00,00,03,A7,93,6E,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
4,nes,current_nes,8D1F,00,00,00,00,00,00,00,00,00,00,40,A9,CF,70,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
5,nes,current_nes,8D16,00,00,00,00,00,00,00,00,00,00,7C,AB,0C,73,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
6,nes,current_nes,8D30,00,00,00,00,00,00,00,00,00,00,B9,AD,49,75,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
7,nes,current_nes,8D25,00,00,00,00,00,00,00,00,00,00,F6,AF,85,77,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
8,nes,current_nes,8D18,00,00,00,00,00,00,00,00,00,00,32,B2,C2,79,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
9,nes,current_nes,8D12,00,00,00,00,00,00,00,00,00,00,6F,B4,FF,7B,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
10,nes,current_nes,8D28,00,00,00,00,00,00,00,00,00,00,AC,B6,3B,7E,02,00,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
11,nes,current_nes,E45B,00,00,00,00,00,00,00,00,00,00,65,9D,7D,68,7D,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
12,nes,current_nes,8056,00,00,00,00,00,00,00,00,00,00,8E,82,04,F1,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
13,nes,current_nes,8054,00,00,00,00,00,00,00,00,00,00,D6,84,02,A9,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
14,nes,current_nes,8071,00,00,00,00,00,00,00,00,00,00,10,87,00,6F,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
15,nes,current_nes,8059,00,00,00,00,00,00,00,00,00,00,4B,89,05,34,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
16,nes,current_nes,8056,00,00,00,00,00,00,00,00,00,00,93,8B,02,EC,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
17,nes,current_nes,8073,00,00,00,00,00,00,00,00,00,00,D3,8D,00,AC,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
18,nes,current_nes,E45B,00,00,00,00,00,00,00,00,00,00,5F,8F,00,00,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
19,nes,current_nes,8DAA,00,00,00,00,00,00,00,00,00,00,C3,8F,06,F1,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
20,nes,current_nes,8DA8,00,00,00,00,00,00,00,00,00,00,0B,92,04,A9,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
21,nes,current_nes,8DA4,00,00,00,00,00,00,00,00,00,00,53,94,02,61,02,68,00,00,,,,,,,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF,F8,FF,FF,FF
