frame,addr,value,pc,trace_last,trace_seq,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,screen_ready,ram_script,ram_subscript,ppu_load_index,d0,d1,d2,d3,a0,a1,a2,a7,sr
12,FF0302,00,0009BC,0201,0003,00,00,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205CC,00FFE000,00000000,00FFFDBA,2608
12,FF0301,00,0174A8,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003604,00FF0302,00000302,00000000,00FFFDB2,2604
12,FF0302,FF,0174B0,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003604,00FF0302,00000302,00000000,00FFFDB2,2618
13,FF0302,FF,0009BC,0201,0015,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CC,00FFE000,00000000,00FFFDBA,2608
13,FF0301,00,0174A8,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
13,FF0302,FF,0174B0,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
34,FF0302,FF,0009BC,0201,0032,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CC,00FFE000,00000000,00FFFDBA,2608
34,FF0301,00,0174A8,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
34,FF0302,FF,0174B0,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
35,FF0302,FF,0009BC,0201,0046,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00003600,000205CC,00FFE000,00000000,00FFFDBA,2608
35,FF0301,00,0174A8,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
35,FF0302,FF,0174B0,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
44,FF0302,FF,0009BC,0201,0060,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00003600,000205CC,00FFE000,00000000,00FFFDBA,2608
44,FF0301,00,0174A8,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
44,FF0302,FF,0174B0,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
44,FF0301,00,008772,0318,0072,00,FF,00,00,00,00,00,00,00,00,00,00000004,00000023,00000000,00FF0034,00008762,000080CA,00000000,00FFFDAE,2600
44,FF0304,00,008786,0318,0072,23,FF,00,00,36,0F,00,00,00,00,00,00000020,00000002,00000000,00FF0034,00FF0302,000080CA,00000000,00FFFDAE,2600
44,FF0303,00,008786,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,00000000,00000001,00000000,00FF0034,00FF0302,000080CA,00000000,00FFFDAE,2604
44,FF0302,FF,008786,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,0000003F,00000000,00000000,00FF0034,00FF0302,000080CA,00000000,00FFFDAE,2600
44,FF0302,3F,001346,0203,0075,23,3F,00,20,36,0F,00,00,00,00,00,000000FF,00000000,000000FF,00003608,01FE0000,00FF0007,00000000,00FFFDF8,2008
45,FF0302,FF,0009BC,0201,0076,23,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,00003608,00FF005D,00FF0007,00000000,00FFFDBA,2608
45,FF0301,23,0174A8,0442,0079,23,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
45,FF0302,FF,0174B0,0442,0079,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
50,FF0302,FF,0009BC,0201,0088,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,00003608,00FF005D,00FF0007,00000000,00FFFDBA,2608
50,FF0301,00,0174A8,0442,008B,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003688,00FF0302,00000302,00000000,00FFFDB2,2604
50,FF0302,FF,0174B0,0442,008B,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003688,00FF0302,00000302,00000000,00FFFDB2,2618
71,FF0302,FF,0009BC,0201,00A5,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,00003608,00FF005D,00FF0007,00000000,00FFFDBA,2608
71,FF0301,00,0174A8,0442,00A8,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
71,FF0302,FF,0174B0,0442,00A8,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
76,FF0302,FF,0009BC,0201,00B9,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000000,0000005C,00003608,00FF005D,00FF0007,00000000,00FFFDBA,2608
76,FF0301,00,0174A8,0442,00BC,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
76,FF0302,FF,0174B0,0442,00BC,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
76,FF0302,FF,000F1C,0203,00CF,00,FF,00,20,36,0F,00,00,00,00,00,00000001,00000000,000000FF,00003608,00FF0000,00FF0007,00000000,00FFFE00,2018
77,FF0302,FF,0009BC,0201,00D2,00,FF,00,20,36,0F,00,00,00,00,00,00000201,00000004,000000D1,0000202F,00FF8200,00FF0007,00000000,00FFFD8A,2608
77,FF0301,00,0174A8,0442,00D5,00,FF,00,20,36,0F,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFD82,2604
