frame,kind,addr,value,pc,trace_last,trace_seq,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,screen_ready,ram_script,ram_subscript,ppu_load_index,d0,d1,d2,d3,d4,d5,d6,d7,a0,a1,a2,a3,a7,sr
3,pal_shadow,FF9200,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9204,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF9204,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9208,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF9208,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF920C,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF920C,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9210,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF9210,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9214,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF9214,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000177A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9218,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF9218,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,00001779,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF921C,00000000,00000000,00000000,00FFFE00,2704
3,pal_shadow,FF921C,00,0003CC,0000,0000,00,00,00,00,00,00,00,00,00,00,00,00001778,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FF9220,00000000,00000000,00000000,00FFFE00,2704
4,vdp_ctrl,C00004,8000,000660,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8134,000668,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8230,000670,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8307,000678,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8407,000680,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,856C,000688,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8700,000690,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8B00,000698,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8C81,0006A0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8D2F,0006A8,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,8F02,0006B0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,9001,0006B8,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,9100,0006C0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,9200,0006C8,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDFC,2708
4,vdp_ctrl,C00004,40000000,000A9C,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDF8,2700
4,vdp_ctrl,C00004,8F02,000AA4,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00FFF000,00000000,00000000,00000000,00FFFDF8,2708
4,vdp_data,C00000,00,000AB0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00003FFF,00FFF000,00000000,00000000,00000000,00FFFDF8,2704
4,vdp_data,C00000,00,000AB0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00003FFE,00FFF000,00000000,00000000,00000000,00FFFDF8,2704
4,vdp_data,C00000,00,000AB0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00003FFD,00FFF000,00000000,00000000,00000000,00FFFDF8,2704
4,vdp_data,C00000,00,000AB0,0000,0000,00,00,00,00,00,00,00,00,00,00,00,0000FFFF,00000000,00000000,00000000,00000000,00000000,00000000,00003FFC,00FFF000,00000000,00000000,00000000,00FFFDF8,2704
