frame,pc,value,d0_plane_addr,d4_nt_addr,nt_page,nt_row,nt_col,ppuctrl,shadow_tile,tile_base,attr_addr,attr_byte,attr_shift,palette_bits,expected_plane_addr,expected_tileword,matches_renderer
54,000EE6,0024,0000C000,00000000,00,00,00,80,24,0024,03C0,24,0,00,C000,0024,1
54,000EE6,0024,0000C002,00000001,00,00,01,80,24,0024,03C0,24,0,00,C002,0024,1
54,000EE6,2024,0000C004,00000002,00,00,02,80,24,0024,03C0,24,2,01,C004,2024,1
54,000EE6,2024,0000C006,00000003,00,00,03,80,24,0024,03C0,24,2,01,C006,2024,1
54,000EE6,0024,0000C008,00000004,00,00,04,80,24,0024,03C1,24,0,00,C008,0024,1
54,000EE6,0024,0000C00A,00000005,00,00,05,80,24,0024,03C1,24,0,00,C00A,0024,1
54,000EE6,2024,0000C00C,00000006,00,00,06,80,24,0024,03C1,24,2,01,C00C,2024,1
54,000EE6,2024,0000C00E,00000007,00,00,07,80,24,0024,03C1,24,2,01,C00E,2024,1
54,000EE6,0024,0000C010,00000008,00,00,08,80,24,0024,03C2,24,0,00,C010,0024,1
54,000EE6,0024,0000C012,00000009,00,00,09,80,24,0024,03C2,24,0,00,C012,0024,1
54,000EE6,2024,0000C014,0000000A,00,00,0A,80,24,0024,03C2,24,2,01,C014,2024,1
54,000EE6,2024,0000C016,0000000B,00,00,0B,80,24,0024,03C2,24,2,01,C016,2024,1
54,000EE6,0024,0000C018,0000000C,00,00,0C,80,24,0024,03C3,24,0,00,C018,0024,1
54,000EE6,0024,0000C01A,0000000D,00,00,0D,80,24,0024,03C3,24,0,00,C01A,0024,1
54,000EE6,2024,0000C01C,0000000E,00,00,0E,80,24,0024,03C3,24,2,01,C01C,2024,1
54,000EE6,2024,0000C01E,0000000F,00,00,0F,80,24,0024,03C3,24,2,01,C01E,2024,1
54,000EE6,0024,0000C020,00000010,00,00,10,80,24,0024,03C4,24,0,00,C020,0024,1
54,000EE6,0024,0000C022,00000011,00,00,11,80,24,0024,03C4,24,0,00,C022,0024,1
54,000EE6,2024,0000C024,00000012,00,00,12,80,24,0024,03C4,24,2,01,C024,2024,1
54,000EE6,2024,0000C026,00000013,00,00,13,80,24,0024,03C4,24,2,01,C026,2024,1
54,000EE6,0024,0000C028,00000014,00,00,14,80,24,0024,03C5,24,0,00,C028,0024,1
54,000EE6,0024,0000C02A,00000015,00,00,15,80,24,0024,03C5,24,0,00,C02A,0024,1
54,000EE6,2024,0000C02C,00000016,00,00,16,80,24,0024,03C5,24,2,01,C02C,2024,1
54,000EE6,2024,0000C02E,00000017,00,00,17,80,24,0024,03C5,24,2,01,C02E,2024,1
54,000EE6,0024,0000C030,00000018,00,00,18,80,24,0024,03C6,24,0,00,C030,0024,1
54,000EE6,0024,0000C032,00000019,00,00,19,80,24,0024,03C6,24,0,00,C032,0024,1
54,000EE6,2024,0000C034,0000001A,00,00,1A,80,24,0024,03C6,24,2,01,C034,2024,1
54,000EE6,2024,0000C036,0000001B,00,00,1B,80,24,0024,03C6,24,2,01,C036,2024,1
54,000EE6,0024,0000C038,0000001C,00,00,1C,80,24,0024,03C7,24,0,00,C038,0024,1
54,000EE6,0024,0000C03A,0000001D,00,00,1D,80,24,0024,03C7,24,0,00,C03A,0024,1
54,000EE6,2024,0000C03C,0000001E,00,00,1E,80,24,0024,03C7,24,2,01,C03C,2024,1
54,000EE6,2024,0000C03E,0000001F,00,00,1F,80,24,0024,03C7,24,2,01,C03E,2024,1
54,000EE6,0024,0000C080,00000020,00,01,00,80,24,0024,03C0,24,0,00,C080,0024,1
54,000EE6,0024,0000C082,00000021,00,01,01,80,24,0024,03C0,24,0,00,C082,0024,1
54,000EE6,2024,0000C084,00000022,00,01,02,80,24,0024,03C0,24,2,01,C084,2024,1
54,000EE6,2024,0000C086,00000023,00,01,03,80,24,0024,03C0,24,2,01,C086,2024,1
54,000EE6,0024,0000C088,00000024,00,01,04,80,24,0024,03C1,24,0,00,C088,0024,1
54,000EE6,0024,0000C08A,00000025,00,01,05,80,24,0024,03C1,24,0,00,C08A,0024,1
54,000EE6,2024,0000C08C,00000026,00,01,06,80,24,0024,03C1,24,2,01,C08C,2024,1
54,000EE6,2024,0000C08E,00000027,00,01,07,80,24,0024,03C1,24,2,01,C08E,2024,1
54,000EE6,0024,0000C090,00000028,00,01,08,80,24,0024,03C2,24,0,00,C090,0024,1
54,000EE6,0024,0000C092,00000029,00,01,09,80,24,0024,03C2,24,0,00,C092,0024,1
54,000EE6,2024,0000C094,0000002A,00,01,0A,80,24,0024,03C2,24,2,01,C094,2024,1
54,000EE6,2024,0000C096,0000002B,00,01,0B,80,24,0024,03C2,24,2,01,C096,2024,1
54,000EE6,0024,0000C098,0000002C,00,01,0C,80,24,0024,03C3,24,0,00,C098,0024,1
54,000EE6,0024,0000C09A,0000002D,00,01,0D,80,24,0024,03C3,24,0,00,C09A,0024,1
54,000EE6,2024,0000C09C,0000002E,00,01,0E,80,24,0024,03C3,24,2,01,C09C,2024,1
54,000EE6,2024,0000C09E,0000002F,00,01,0F,80,24,0024,03C3,24,2,01,C09E,2024,1
54,000EE6,0024,0000C0A0,00000030,00,01,10,80,24,0024,03C4,24,0,00,C0A0,0024,1
54,000EE6,0024,0000C0A2,00000031,00,01,11,80,24,0024,03C4,24,0,00,C0A2,0024,1
54,000EE6,2024,0000C0A4,00000032,00,01,12,80,24,0024,03C4,24,2,01,C0A4,2024,1
54,000EE6,2024,0000C0A6,00000033,00,01,13,80,24,0024,03C4,24,2,01,C0A6,2024,1
54,000EE6,0024,0000C0A8,00000034,00,01,14,80,24,0024,03C5,24,0,00,C0A8,0024,1
54,000EE6,0024,0000C0AA,00000035,00,01,15,80,24,0024,03C5,24,0,00,C0AA,0024,1
54,000EE6,2024,0000C0AC,00000036,00,01,16,80,24,0024,03C5,24,2,01,C0AC,2024,1
54,000EE6,2024,0000C0AE,00000037,00,01,17,80,24,0024,03C5,24,2,01,C0AE,2024,1
54,000EE6,0024,0000C0B0,00000038,00,01,18,80,24,0024,03C6,24,0,00,C0B0,0024,1
54,000EE6,0024,0000C0B2,00000039,00,01,19,80,24,0024,03C6,24,0,00,C0B2,0024,1
54,000EE6,2024,0000C0B4,0000003A,00,01,1A,80,24,0024,03C6,24,2,01,C0B4,2024,1
54,000EE6,2024,0000C0B6,0000003B,00,01,1B,80,24,0024,03C6,24,2,01,C0B6,2024,1
54,000EE6,0024,0000C0B8,0000003C,00,01,1C,80,24,0024,03C7,24,0,00,C0B8,0024,1
54,000EE6,0024,0000C0BA,0000003D,00,01,1D,80,24,0024,03C7,24,0,00,C0BA,0024,1
54,000EE6,2024,0000C0BC,0000003E,00,01,1E,80,24,0024,03C7,24,2,01,C0BC,2024,1
54,000EE6,2024,0000C0BE,0000003F,00,01,1F,80,24,0024,03C7,24,2,01,C0BE,2024,1
54,000EE6,4024,0000C100,00000040,00,02,00,80,24,0024,03C0,24,4,02,C100,4024,1
54,000EE6,4024,0000C102,00000041,00,02,01,80,24,0024,03C0,24,4,02,C102,4024,1
54,000EE6,0024,0000C104,00000042,00,02,02,80,24,0024,03C0,24,6,00,C104,0024,1
54,000EE6,0024,0000C106,00000043,00,02,03,80,24,0024,03C0,24,6,00,C106,0024,1
54,000EE6,4024,0000C108,00000044,00,02,04,80,24,0024,03C1,24,4,02,C108,4024,1
54,000EE6,4024,0000C10A,00000045,00,02,05,80,24,0024,03C1,24,4,02,C10A,4024,1
54,000EE6,0024,0000C10C,00000046,00,02,06,80,24,0024,03C1,24,6,00,C10C,0024,1
54,000EE6,0024,0000C10E,00000047,00,02,07,80,24,0024,03C1,24,6,00,C10E,0024,1
54,000EE6,4024,0000C110,00000048,00,02,08,80,24,0024,03C2,24,4,02,C110,4024,1
54,000EE6,4024,0000C112,00000049,00,02,09,80,24,0024,03C2,24,4,02,C112,4024,1
54,000EE6,0024,0000C114,0000004A,00,02,0A,80,24,0024,03C2,24,6,00,C114,0024,1
54,000EE6,0024,0000C116,0000004B,00,02,0B,80,24,0024,03C2,24,6,00,C116,0024,1
54,000EE6,4024,0000C118,0000004C,00,02,0C,80,24,0024,03C3,24,4,02,C118,4024,1
54,000EE6,4024,0000C11A,0000004D,00,02,0D,80,24,0024,03C3,24,4,02,C11A,4024,1
54,000EE6,0024,0000C11C,0000004E,00,02,0E,80,24,0024,03C3,24,6,00,C11C,0024,1
54,000EE6,0024,0000C11E,0000004F,00,02,0F,80,24,0024,03C3,24,6,00,C11E,0024,1
54,000EE6,4024,0000C120,00000050,00,02,10,80,24,0024,03C4,24,4,02,C120,4024,1
54,000EE6,4024,0000C122,00000051,00,02,11,80,24,0024,03C4,24,4,02,C122,4024,1
54,000EE6,0024,0000C124,00000052,00,02,12,80,24,0024,03C4,24,6,00,C124,0024,1
54,000EE6,0024,0000C126,00000053,00,02,13,80,24,0024,03C4,24,6,00,C126,0024,1
54,000EE6,4024,0000C128,00000054,00,02,14,80,24,0024,03C5,24,4,02,C128,4024,1
54,000EE6,4024,0000C12A,00000055,00,02,15,80,24,0024,03C5,24,4,02,C12A,4024,1
54,000EE6,0024,0000C12C,00000056,00,02,16,80,24,0024,03C5,24,6,00,C12C,0024,1
54,000EE6,0024,0000C12E,00000057,00,02,17,80,24,0024,03C5,24,6,00,C12E,0024,1
54,000EE6,4024,0000C130,00000058,00,02,18,80,24,0024,03C6,24,4,02,C130,4024,1
54,000EE6,4024,0000C132,00000059,00,02,19,80,24,0024,03C6,24,4,02,C132,4024,1
54,000EE6,0024,0000C134,0000005A,00,02,1A,80,24,0024,03C6,24,6,00,C134,0024,1
54,000EE6,0024,0000C136,0000005B,00,02,1B,80,24,0024,03C6,24,6,00,C136,0024,1
54,000EE6,4024,0000C138,0000005C,00,02,1C,80,24,0024,03C7,24,4,02,C138,4024,1
54,000EE6,4024,0000C13A,0000005D,00,02,1D,80,24,0024,03C7,24,4,02,C13A,4024,1
54,000EE6,0024,0000C13C,0000005E,00,02,1E,80,24,0024,03C7,24,6,00,C13C,0024,1
54,000EE6,0024,0000C13E,0000005F,00,02,1F,80,24,0024,03C7,24,6,00,C13E,0024,1
54,000EE6,4024,0000C180,00000060,00,03,00,80,24,0024,03C0,24,4,02,C180,4024,1
54,000EE6,4024,0000C182,00000061,00,03,01,80,24,0024,03C0,24,4,02,C182,4024,1
54,000EE6,0024,0000C184,00000062,00,03,02,80,24,0024,03C0,24,6,00,C184,0024,1
54,000EE6,0024,0000C186,00000063,00,03,03,80,24,0024,03C0,24,6,00,C186,0024,1
54,000EE6,4024,0000C188,00000064,00,03,04,80,24,0024,03C1,24,4,02,C188,4024,1
54,000EE6,4024,0000C18A,00000065,00,03,05,80,24,0024,03C1,24,4,02,C18A,4024,1
54,000EE6,0024,0000C18C,00000066,00,03,06,80,24,0024,03C1,24,6,00,C18C,0024,1
54,000EE6,0024,0000C18E,00000067,00,03,07,80,24,0024,03C1,24,6,00,C18E,0024,1
54,000EE6,4024,0000C190,00000068,00,03,08,80,24,0024,03C2,24,4,02,C190,4024,1
54,000EE6,4024,0000C192,00000069,00,03,09,80,24,0024,03C2,24,4,02,C192,4024,1
54,000EE6,0024,0000C194,0000006A,00,03,0A,80,24,0024,03C2,24,6,00,C194,0024,1
54,000EE6,0024,0000C196,0000006B,00,03,0B,80,24,0024,03C2,24,6,00,C196,0024,1
54,000EE6,4024,0000C198,0000006C,00,03,0C,80,24,0024,03C3,24,4,02,C198,4024,1
54,000EE6,4024,0000C19A,0000006D,00,03,0D,80,24,0024,03C3,24,4,02,C19A,4024,1
54,000EE6,0024,0000C19C,0000006E,00,03,0E,80,24,0024,03C3,24,6,00,C19C,0024,1
54,000EE6,0024,0000C19E,0000006F,00,03,0F,80,24,0024,03C3,24,6,00,C19E,0024,1
54,000EE6,4024,0000C1A0,00000070,00,03,10,80,24,0024,03C4,24,4,02,C1A0,4024,1
54,000EE6,4024,0000C1A2,00000071,00,03,11,80,24,0024,03C4,24,4,02,C1A2,4024,1
54,000EE6,0024,0000C1A4,00000072,00,03,12,80,24,0024,03C4,24,6,00,C1A4,0024,1
54,000EE6,0024,0000C1A6,00000073,00,03,13,80,24,0024,03C4,24,6,00,C1A6,0024,1
54,000EE6,4024,0000C1A8,00000074,00,03,14,80,24,0024,03C5,24,4,02,C1A8,4024,1
54,000EE6,4024,0000C1AA,00000075,00,03,15,80,24,0024,03C5,24,4,02,C1AA,4024,1
54,000EE6,0024,0000C1AC,00000076,00,03,16,80,24,0024,03C5,24,6,00,C1AC,0024,1
54,000EE6,0024,0000C1AE,00000077,00,03,17,80,24,0024,03C5,24,6,00,C1AE,0024,1
54,000EE6,4024,0000C1B0,00000078,00,03,18,80,24,0024,03C6,24,4,02,C1B0,4024,1
54,000EE6,4024,0000C1B2,00000079,00,03,19,80,24,0024,03C6,24,4,02,C1B2,4024,1
54,000EE6,0024,0000C1B4,0000007A,00,03,1A,80,24,0024,03C6,24,6,00,C1B4,0024,1
54,000EE6,0024,0000C1B6,0000007B,00,03,1B,80,24,0024,03C6,24,6,00,C1B6,0024,1
54,000EE6,4024,0000C1B8,0000007C,00,03,1C,80,24,0024,03C7,24,4,02,C1B8,4024,1
54,000EE6,4024,0000C1BA,0000007D,00,03,1D,80,24,0024,03C7,24,4,02,C1BA,4024,1
54,000EE6,0024,0000C1BC,0000007E,00,03,1E,80,24,0024,03C7,24,6,00,C1BC,0024,1
54,000EE6,0024,0000C1BE,0000007F,00,03,1F,80,24,0024,03C7,24,6,00,C1BE,0024,1
54,000EE6,0024,0000C200,00000080,00,04,00,80,24,0024,03C8,24,0,00,C200,0024,1
54,000EE6,0024,0000C202,00000081,00,04,01,80,24,0024,03C8,24,0,00,C202,0024,1
54,000EE6,2024,0000C204,00000082,00,04,02,80,24,0024,03C8,24,2,01,C204,2024,1
54,000EE6,2024,0000C206,00000083,00,04,03,80,24,0024,03C8,24,2,01,C206,2024,1
54,000EE6,0024,0000C208,00000084,00,04,04,80,24,0024,03C9,24,0,00,C208,0024,1
54,000EE6,0024,0000C20A,00000085,00,04,05,80,24,0024,03C9,24,0,00,C20A,0024,1
54,000EE6,2024,0000C20C,00000086,00,04,06,80,24,0024,03C9,24,2,01,C20C,2024,1
54,000EE6,2024,0000C20E,00000087,00,04,07,80,24,0024,03C9,24,2,01,C20E,2024,1
54,000EE6,0024,0000C210,00000088,00,04,08,80,24,0024,03CA,24,0,00,C210,0024,1
54,000EE6,0024,0000C212,00000089,00,04,09,80,24,0024,03CA,24,0,00,C212,0024,1
54,000EE6,2024,0000C214,0000008A,00,04,0A,80,24,0024,03CA,24,2,01,C214,2024,1
54,000EE6,2024,0000C216,0000008B,00,04,0B,80,24,0024,03CA,24,2,01,C216,2024,1
54,000EE6,0024,0000C218,0000008C,00,04,0C,80,24,0024,03CB,24,0,00,C218,0024,1
54,000EE6,0024,0000C21A,0000008D,00,04,0D,80,24,0024,03CB,24,0,00,C21A,0024,1
54,000EE6,2024,0000C21C,0000008E,00,04,0E,80,24,0024,03CB,24,2,01,C21C,2024,1
54,000EE6,2024,0000C21E,0000008F,00,04,0F,80,24,0024,03CB,24,2,01,C21E,2024,1
54,000EE6,0024,0000C220,00000090,00,04,10,80,24,0024,03CC,24,0,00,C220,0024,1
54,000EE6,0024,0000C222,00000091,00,04,11,80,24,0024,03CC,24,0,00,C222,0024,1
54,000EE6,2024,0000C224,00000092,00,04,12,80,24,0024,03CC,24,2,01,C224,2024,1
54,000EE6,2024,0000C226,00000093,00,04,13,80,24,0024,03CC,24,2,01,C226,2024,1
54,000EE6,0024,0000C228,00000094,00,04,14,80,24,0024,03CD,24,0,00,C228,0024,1
54,000EE6,0024,0000C22A,00000095,00,04,15,80,24,0024,03CD,24,0,00,C22A,0024,1
54,000EE6,2024,0000C22C,00000096,00,04,16,80,24,0024,03CD,24,2,01,C22C,2024,1
54,000EE6,2024,0000C22E,00000097,00,04,17,80,24,0024,03CD,24,2,01,C22E,2024,1
54,000EE6,0024,0000C230,00000098,00,04,18,80,24,0024,03CE,24,0,00,C230,0024,1
54,000EE6,0024,0000C232,00000099,00,04,19,80,24,0024,03CE,24,0,00,C232,0024,1
54,000EE6,2024,0000C234,0000009A,00,04,1A,80,24,0024,03CE,24,2,01,C234,2024,1
54,000EE6,2024,0000C236,0000009B,00,04,1B,80,24,0024,03CE,24,2,01,C236,2024,1
54,000EE6,0024,0000C238,0000009C,00,04,1C,80,24,0024,03CF,24,0,00,C238,0024,1
54,000EE6,0024,0000C23A,0000009D,00,04,1D,80,24,0024,03CF,24,0,00,C23A,0024,1
54,000EE6,2024,0000C23C,0000009E,00,04,1E,80,24,0024,03CF,24,2,01,C23C,2024,1
54,000EE6,2024,0000C23E,0000009F,00,04,1F,80,24,0024,03CF,24,2,01,C23E,2024,1
54,000EE6,0024,0000C280,000000A0,00,05,00,80,24,0024,03C8,24,0,00,C280,0024,1
54,000EE6,0024,0000C282,000000A1,00,05,01,80,24,0024,03C8,24,0,00,C282,0024,1
54,000EE6,2024,0000C284,000000A2,00,05,02,80,24,0024,03C8,24,2,01,C284,2024,1
54,000EE6,2024,0000C286,000000A3,00,05,03,80,24,0024,03C8,24,2,01,C286,2024,1
54,000EE6,0024,0000C288,000000A4,00,05,04,80,24,0024,03C9,24,0,00,C288,0024,1
54,000EE6,0024,0000C28A,000000A5,00,05,05,80,24,0024,03C9,24,0,00,C28A,0024,1
54,000EE6,2024,0000C28C,000000A6,00,05,06,80,24,0024,03C9,24,2,01,C28C,2024,1
54,000EE6,2024,0000C28E,000000A7,00,05,07,80,24,0024,03C9,24,2,01,C28E,2024,1
54,000EE6,0024,0000C290,000000A8,00,05,08,80,24,0024,03CA,24,0,00,C290,0024,1
54,000EE6,0024,0000C292,000000A9,00,05,09,80,24,0024,03CA,24,0,00,C292,0024,1
