=== SCRIPT3+ DIAGNOSTICS zelda_v377 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Notes
------------------------------------------------------------------------------------------
  300 |   0 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | heartbeat
  490 |   0 |   1 |     1 | 0x12   |    0 |    0 |     0 |     0 | SUB 0->1
  500 |   0 |   2 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 1->2
  505 |   1 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 0->1; SUB 2->0
  510 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | SUB 0->2
  600 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | heartbeat
  878 |   1 |   3 |     0 | 0x14   |    0 |    0 |     0 |     0 | SUB 2->3
  880 |   1 |   5 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 3->5
  881 |   1 |   6 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 5->6
  882 |   1 |   0 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 6->0
  883 |   1 |   1 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 0->1
  888 |   2 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 1->2; SUB 1->0
  889 |   2 |   1 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 0->1
  890 |   2 |   0 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 1->0
  891 |   3 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 2->3; READY 1->0
  892 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 0->1; RENDER 0->1
  950 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1010 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1070 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1130 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1190 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1250 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1260 |   3 |   2 |     0 | 0x18   |    0 |    0 |     1 |     0 | SUB 1->2; PPU_IDX 0x00->0x18
 1261 |   3 |   3 |     0 | 0x18   |    0 |    0 |     1 |     0 | SUB 2->3
 1262 |   3 |   4 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 3->4; PPU_IDX 0x18->0x00
 1263 |   3 |   5 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 4->5
 1264 |   3 |   6 |     0 | 0x0E   |    0 |    0 |     1 |     0 | SUB 5->6; PPU_IDX 0x00->0x0E
 1265 |   3 |   7 |     0 | 0x44   |    0 |    0 |     1 |     0 | SUB 6->7; PPU_IDX 0x0E->0x44
 1266 |   3 |   8 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 7->8; PPU_IDX 0x44->0x00
 1267 |   3 |   0 |     1 | 0x00   |   16 |   17 |     0 |     0 | SUB 8->0; READY 0->1; 007C 0->16; RENDER 1->0
 1268 |   3 |   0 |     1 | 0x00   |   15 |   17 |     0 |     5 | 007C 16->15
 1273 |   3 |   0 |     1 | 0x00   |   15 |   17 |     0 |     4 | 
 1274 |   3 |   0 |     1 | 0x00   |   15 |   17 |     0 |     3 | 
 1275 |   3 |   0 |     1 | 0x00   |   15 |   17 |     0 |     2 | 
 1276 |   3 |   0 |     1 | 0x00   |   15 |   17 |     0 |     1 | 
 1277 |   3 |   0 |     1 | 0x00   |   14 |   17 |     0 |     5 | 007C 15->14
 1278 |   3 |   0 |     1 | 0x00   |   14 |   17 |     0 |     4 | 
 1279 |   3 |   0 |     1 | 0x00   |   14 |   17 |     0 |     3 | 
 1280 |   3 |   0 |     1 | 0x00   |   14 |   17 |     0 |     2 | 
 1281 |   3 |   0 |     1 | 0x00   |   14 |   17 |     0 |     1 | 
 1282 |   3 |   0 |     1 | 0x00   |   13 |   17 |     0 |     5 | 007C 14->13
 1283 |   3 |   0 |     1 | 0x00   |   13 |   17 |     0 |     4 | 
 1284 |   3 |   0 |     1 | 0x00   |   13 |   17 |     0 |     3 | 
 1285 |   3 |   0 |     1 | 0x00   |   13 |   17 |     0 |     2 | 
 1286 |   3 |   0 |     1 | 0x00   |   13 |   17 |     0 |     1 | 
 1287 |   3 |   0 |     1 | 0x00   |   12 |   17 |     0 |     5 | 007C 13->12
 1288 |   3 |   0 |     1 | 0x00   |   12 |   17 |     0 |     4 | 
 1289 |   3 |   0 |     1 | 0x00   |   12 |   17 |     0 |     3 | 
 1290 |   3 |   0 |     1 | 0x00   |   12 |   17 |     0 |     2 | 
 1291 |   3 |   0 |     1 | 0x00   |   12 |   17 |     0 |     1 | 
 1292 |   3 |   0 |     1 | 0x00   |   11 |   17 |     0 |     5 | 007C 12->11
 1293 |   3 |   0 |     1 | 0x00   |   11 |   17 |     0 |     4 | 
 1294 |   3 |   0 |     1 | 0x00   |   11 |   17 |     0 |     3 | 
 1295 |   3 |   0 |     1 | 0x00   |   11 |   17 |     0 |     2 | 
 1296 |   3 |   0 |     1 | 0x00   |   11 |   17 |     0 |     1 | 
 1297 |   3 |   0 |     1 | 0x00   |   10 |   17 |     0 |     5 | 007C 11->10
 1298 |   3 |   0 |     1 | 0x00   |   10 |   17 |     0 |     4 | 
 1299 |   3 |   0 |     1 | 0x00   |   10 |   17 |     0 |     3 | 
 1300 |   3 |   0 |     1 | 0x00   |   10 |   17 |     0 |     2 | 
 1301 |   3 |   0 |     1 | 0x00   |   10 |   17 |     0 |     1 | 
 1302 |   3 |   0 |     1 | 0x00   |    9 |   17 |     0 |     5 | 007C 10->9
 1303 |   3 |   0 |     1 | 0x00   |    9 |   17 |     0 |     4 | 
 1304 |   3 |   0 |     1 | 0x00   |    9 |   17 |     0 |     3 | 
 1305 |   3 |   0 |     1 | 0x00   |    9 |   17 |     0 |     2 | 
 1306 |   3 |   0 |     1 | 0x00   |    9 |   17 |     0 |     1 | 
 1307 |   3 |   0 |     1 | 0x00   |    8 |   17 |     0 |     5 | 007C 9->8
 1308 |   3 |   0 |     1 | 0x00   |    8 |   17 |     0 |     4 | 
 1309 |   3 |   0 |     1 | 0x00   |    8 |   17 |     0 |     3 | 
 1310 |   3 |   0 |     1 | 0x00   |    8 |   17 |     0 |     2 | heartbeat
 1311 |   3 |   0 |     1 | 0x00   |    8 |   17 |     0 |     1 | 
 1312 |   3 |   0 |     1 | 0x00   |    7 |   17 |     0 |     5 | 007C 8->7
 1313 |   3 |   0 |     1 | 0x00   |    7 |   17 |     0 |     4 | 
 1314 |   3 |   0 |     1 | 0x00   |    7 |   17 |     0 |     3 | 
 1315 |   3 |   0 |     1 | 0x00   |    7 |   17 |     0 |     2 | 
 1316 |   3 |   0 |     1 | 0x00   |    7 |   17 |     0 |     1 | 
 1317 |   3 |   0 |     1 | 0x00   |    6 |   17 |     0 |     5 | 007C 7->6
 1318 |   3 |   0 |     1 | 0x00   |    6 |   17 |     0 |     4 | 
 1319 |   3 |   0 |     1 | 0x00   |    6 |   17 |     0 |     3 | 
 1320 |   3 |   0 |     1 | 0x00   |    6 |   17 |     0 |     2 | 
 1321 |   3 |   0 |     1 | 0x00   |    6 |   17 |     0 |     1 | 
 1322 |   3 |   0 |     1 | 0x00   |    5 |   17 |     0 |     5 | 007C 6->5
 1323 |   3 |   0 |     1 | 0x00   |    5 |   17 |     0 |     4 | 
 1324 |   3 |   0 |     1 | 0x00   |    5 |   17 |     0 |     3 | 
 1325 |   3 |   0 |     1 | 0x00   |    5 |   17 |     0 |     2 | 
 1326 |   3 |   0 |     1 | 0x00   |    5 |   17 |     0 |     1 | 
 1327 |   3 |   0 |     1 | 0x00   |    4 |   17 |     0 |     5 | 007C 5->4
 1328 |   3 |   0 |     1 | 0x00   |    4 |   17 |     0 |     4 | 
 1329 |   3 |   0 |     1 | 0x00   |    4 |   17 |     0 |     3 | 
 1330 |   3 |   0 |     1 | 0x00   |    4 |   17 |     0 |     2 | 
 1331 |   3 |   0 |     1 | 0x00   |    4 |   17 |     0 |     1 | 
 1332 |   3 |   0 |     1 | 0x00   |    3 |   17 |     0 |     5 | 007C 4->3
 1333 |   3 |   0 |     1 | 0x00   |    3 |   17 |     0 |     4 | 
 1334 |   3 |   0 |     1 | 0x00   |    3 |   17 |     0 |     3 | 
 1335 |   3 |   0 |     1 | 0x00   |    3 |   17 |     0 |     2 | 
 1336 |   3 |   0 |     1 | 0x00   |    3 |   17 |     0 |     1 | 
 1337 |   3 |   0 |     1 | 0x00   |    2 |   17 |     0 |     5 | 007C 3->2
 1338 |   3 |   0 |     1 | 0x00   |    2 |   17 |     0 |     4 | 
 1339 |   3 |   0 |     1 | 0x00   |    2 |   17 |     0 |     3 | 
 1340 |   3 |   0 |     1 | 0x00   |    2 |   17 |     0 |     2 | 
 1341 |   3 |   0 |     1 | 0x00   |    2 |   17 |     0 |     1 | 
 1342 |   3 |   0 |     1 | 0x00   |    1 |   17 |     0 |     5 | 007C 2->1
 1343 |   3 |   0 |     1 | 0x00   |    1 |   17 |     0 |     4 | 
 1344 |   3 |   0 |     1 | 0x00   |    1 |   17 |     0 |     3 | 
 1345 |   3 |   0 |     1 | 0x00   |    1 |   17 |     0 |     2 | 
 1346 |   3 |   0 |     1 | 0x00   |    1 |   17 |     0 |     1 | 
 1347 |   4 |   0 |     0 | 0x00   |    0 |   17 |     0 |     5 | SCRIPT 3->4; READY 1->0; 007C 1->0
 1348 |   4 |   0 |     1 | 0x00   |    0 |   17 |     0 |     4 | READY 0->1
 1349 |   5 |   0 |     0 | 0x00   |    0 |   17 |     0 |     3 | SCRIPT 4->5; READY 1->0

*** GAMEPLAY REACHED frame=1349 script=5 sub=0 ***

=== SUMMARY ===
