=== START BUTTON INJECTION TEST v358 ===
Inject frame: 800  Max frames: 1500
Output: C:\Users\Jake Diggity\Documents\GitHub\NES-TO-SEGA-GENESIS\diag\reports\start_injection_v358.txt
Watching: ram_btn_press=$FF00F8 | ram_script=$FF0012 | ram_subscript=$FF0013

Frame | Script | Sub | BtnPress | Notes
-----------------------------------------------------------------
  100 |      0 |   0 | 0x00     | pre
  200 |      0 |   0 | 0x00     | pre
  300 |      0 |   0 | 0x00     | pre
  400 |      0 |   0 | 0x00     | pre
  500 |      0 |   0 | 0x00     | pre
  600 |      0 |   0 | 0x00     | pre
  700 |      0 |   0 | 0x00     | pre
  800 |      0 |   0 | 0x10     | *** INJECT START
  805 |      0 |   0 | 0x00     | 
  810 |      0 |   0 | 0x00     | 
  815 |      0 |   0 | 0x00     | 
  820 |      0 |   0 | 0x00     | 
  825 |      0 |   0 | 0x00     | 
  830 |      0 |   0 | 0x00     | 
  835 |      0 |   0 | 0x00     | 
  840 |      0 |   0 | 0x00     | 
  845 |      0 |   0 | 0x00     | 
  850 |      0 |   0 | 0x00     | 
  855 |      0 |   0 | 0x00     | 
  860 |      0 |   0 | 0x00     | 
  865 |      0 |   0 | 0x00     | 
  870 |      0 |   0 | 0x00     | 
  875 |      0 |   0 | 0x00     | 
  880 |      0 |   0 | 0x00     | 
  885 |      0 |   0 | 0x00     | 
  890 |      0 |   0 | 0x00     | 
  895 |      0 |   0 | 0x00     | 
  900 |      0 |   0 | 0x00     | 
  905 |      0 |   0 | 0x00     | 
  910 |      0 |   0 | 0x00     | 
  915 |      0 |   0 | 0x00     | 
  920 |      0 |   0 | 0x00     | 
  925 |      0 |   0 | 0x00     | 
  930 |      0 |   0 | 0x00     | 
  935 |      0 |   0 | 0x00     | 
  940 |      0 |   0 | 0x00     | 
  945 |      0 |   0 | 0x00     | 
  950 |      0 |   0 | 0x00     | 
  955 |      0 |   0 | 0x00     | 
  960 |      0 |   0 | 0x00     | 
  965 |      0 |   0 | 0x00     | 
  970 |      0 |   0 | 0x00     | 
  975 |      0 |   0 | 0x00     | 
  980 |      0 |   0 | 0x00     | 
  985 |      0 |   0 | 0x00     | 
  990 |      0 |   0 | 0x00     | 
  995 |      0 |   0 | 0x00     | 
 1000 |      0 |   0 | 0x00     | 
 1100 |      0 |   0 | 0x00     | 
 1200 |      0 |   0 | 0x00     | 
 1300 |      0 |   0 | 0x00     | 
 1400 |      0 |   0 | 0x00     | 
 1500 |      0 |   0 | 0x00     | 

=== SUMMARY ===
No script change observed by frame 1500
Final: script=0 subscript=0
